shop_heat_group,count,mean,std,min,25%,50%,75%,max
低热度,85700.0,3.5353908984830804,0.49375763767134256,1.0,3.24,3.5555555555555554,3.875,5.0
中热度,61870.0,3.669823824147406,0.3435414607492627,2.3125,3.45,3.688888888888889,3.8974358974358974,5.0
高热度,2430.0,3.7448559670781894,0.37544626448434376,2.0,3.625,3.8548387096774195,3.953125,4.190476190476191
